link,title,description,keyword
http://www.vogue.co.uk/news/2014/06/10/what-is-the-bechdel-test---movie-film-feminist-rules,Does Your Favourite Film Pass The Bechdel Test?,"EVEN if you don't have small children, chances are you've fallen in love with Frozen this year. And, whether by coincidence or by design, Frozen is one of the few Disney movies to pass The Bechdel Test.",
http://www.absorblearning.com/media/attachment.action?quick=bj&att=822,Radiation penetration,,
https://www.kiva.org/lend#/?perPage=20&countries%5B%5D=KH,Kiva - Loans that change lives,Make a loan to an entrepreneur across the globe for as little as $25. Kiva is the world's first online lending platform connecting online lenders to entrepreneurs across the globe.,"kiva, microfinance, microcredit, microloan, microlending, loan, africa, business, philanthropy, international development, projects, corporate giving, corporate philanthropy, donors, donating, donation, charity, social development, economic development, grassroots development, employee giving, poverty alleviation, economic investments, social investment, entrepreneur, entrepreneurs, social entrepreneurship, innovation, giving, give, gift, gifts"
http://lingtlanguage.com/takeassignment/1489442197719541,Lingt | Page Not Found,Online tools for helping foreign language teachers and students get the most out of language education.,"language, learning, speaking, voice, online, web, foreign language, teacher, student"
http://www.quality-drinking-water.com/ozone_water_purification.html,Ozone Water Purification,Ozone water purification is one of the ways that you can purify your drinking water,
https://www.khanacademy.org/math/precalculus/prob_comb/basic_prob_precalc/e/probability_1,Khan Academy,"Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. Khan Academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.","khan academy, learn, videos, lectures, practice, exercises, skills, practice, problem, homework, questions, problem set
"
http://www.theguardian.com/books/gallery/2011/sep/15/siege-leningrad-history-anna-reid,Myth and tragedy at the siege of Leningrad – gallery,Seventy years ago this month Hitler surrounded Leningrad. Anna Reid charts the story of history's deadliest siege,"History,Books,Culture"
http://www.govware.sg,Thank You - Governmentware 2015,,
http://mentalfloss.com/us/go/72762,Immunology Study Suggests the Appendix Has a Use After All,The appendix has long had a reputation as a redundant organ with no real function. But new research may redeem this misunderstood organ.,
http://faculty.fullerton.edu/cmcconnell/304/X-Ray_Crystallography.htm,X-Ray Crystallography,,
http://www.darvill.clara.net/emag,The Electromagnetic Spectrum: Home page ,,
http://www.theguardian.com/commentisfree/2015/jun/18/appeal-isis-muslim-outsider-recruits,Want to understand the appeal of Isis? Think like a young Muslim outsider | Sadakat Kadri,"Whether escaping stifling familial expectations or yearning for a macho hierarchy, there are reasoned – if unsettling – reasons for Isis recruits’ haste to join","Islamic State,World news,UK news"
https://www.vocabexpress.com/co,Language Learning: Vocab Express - Rapid Vocabulary Expansion for Modern Foreign Languages and Classics,"Vocab Express - rapid vocabulary expansion for foreign languages within Language Education, Schools and Colleges, Private Tutors and Individuals. Languages include French, Spanish, German, Italian, Portuguese, Polish Russian, Greek, Latin, Arabic, Urdu, Hebrew, Mandarin and Japanese.","Language Learning, Vocab Express,Languages,MFL,Education,Learn,Language,Online,ELearning,App,Apps,Android,iOS,Schools,Secondary,Primary,HE,FE,Vocabulary,Expansion,Scoreboards,League of Champions,Championships,Global Champions,Global,Justin Sycamore,Toptrack Learning,teach,foreign,English,"
http://www.gashakespeare.org/the_importance_of_being_earnest_synopsis___notes,,,
https://soundcloud.com/anglada-escude-mariona/audio-recording-on-friday/s-BXR6f,Audio Recording on Friday afternoon,Listen to Audio Recording on Friday afternoon by ANGLADA ESCUDE Mariona #np on #SoundCloud,"record, sounds, share, sound, audio, tracks, music, soundcloud"
http://themoth.org/posts/episodes/0905,"The Moth | Radio Hour | Monkeys, Calzones and Jaywalkers","In this hour, a man is instructed not to fall in love with his monkey, but fails; renowned performer Sarah Jones (Bridge and Tunnel) finds herself the subject of racial profiling; and the inventor of the Baby Calzone runs into trouble with the Mob.",
http://padlet.com/wall/31ghtdmgv7ju,31ghtdmgv7ju,,
http://www.oum.ox.ac.uk/thezone/animals/life,The Learning Zone: The Living Animal,The living animal in the learning zone,"The Learning Zone, The Living Animal, Life Processes, Zoology, Animals, Oxford University Museum of Natural History, University of Oxford, Children's Pages, Educational Resources, National Curriculum, KS1, KS2, KS3"
http://www.dailymotion.com/video/x125kqg_the-world-at-war-ep20-genocide_shortfilms,The World At War Ep20 Genocide - Video Dailymotion,The World At War Ep20 Genocide,
http://www.nationalarchives.gov.uk/education/resources/chamberlain-and-hitler,Chamberlain and Hitler 1938 - The National Archives,"After the First World War, the map of Europe was re-drawn and several new countries were formed.","Chamberlain,Czechoslovakia,education,Hitler,sudetenland,WW2"
http://www.smithsonianmag.com/arts-culture/wayne-thiebaud-is-not-a-pop-artist-57060/?no-ist,Wayne Thiebaud Is Not a Pop Artist,"He's best known for his bright paintings of pastries and cakes, but they represent only a slice of the American master's work","
  Artists, Painters, Painting
"
http://art-sheep.com/artist-creates-the-most-impressive-large-scale-murals-youve-ever-seen,Artist Creates The Most Impressive Large-Scale Murals You’ve Ever Seen,"by Anna Randal Cinta Vidal is an artist with a lot of imagination and skill. Her passion for paintings started a long time ago and since she was a teenager she studies and works in artistic environments. Her love about scenography due to her many years of experience working with sets, resulted to a series…",
https://app.slidebean.com/p/QuQXe5QOpX/Writing-Comparative-Essays-On-Demand,,,
http://vimeo.com/77428665,The Creation of the World - Greek Mythology,"This is ""The Creation of the World - Greek Mythology"" by mscassandraihsl on Vimeo, the home for high quality videos and the people who love them.",
http://www.mathsisfun.com/algebra/mathematical-induction.html,Mathematical Induction,,"math, maths, mathematics, school, homework, education"
http://phys.org/news/2015-10-sand-engine-coastal-erosion.html,Sand-engine to protect against coastal erosion,The UK's first investigation into the use of beach widening to reduce coastal flooding and erosion is being led by the National Oceanography Centre (NOC) in partnership with the University of Liverpool.,
http://mathlets.org/mathlets/isoclines/comment-page-1/#,  Isoclines : MIT Mathlets,,
http://www.inmotionhosting.com/support/edu/drupal-7/blocks-and-regions/nodes-blocks-regions,Understanding Nodes - Blocks - Regions in Drupal 7 - InMotion Hosting,"In this tutorial, we'll explain what entities, nodes, blocks, and regions are in Drupal 7.",Drupal 7 entity node block region
