link,ids,title,description,status,keyword
https://www.youtube.com/watch?v=VEMtc1w4z6c,VEMtc1w4z6c,Should We Let Pandas Go Extinct?,"Thanks to http://www.harrys.com for supporting this video. Use the coupon code MINUTEEARTH for $5 off your order! http://www.harrys.com 
Help fund MinuteEarth on Patreon: https://goo.gl/ZVgLQZ

Thanks to our Patreon patrons:
- @AntoineCoeur
- Nicholas Buckendorf
- Nasser Hamed Alminji
- Jeff Straathof
- Mark
- facebook.com/maarten.bremer
- Emil Kampp
- @TodayIFoundOut1

Thanks also to our Subbable supporters:
- @Kubakun :-)
- Ethi Raj
- Damian Shaw
- Ernesto Carvajal - https://www.facebook.com/erne.carvajal
- Shelley Jones - https://twitter.com/ShelleytheJonas
- Vanessa Benavent
- BouwsT
- Zoe Reidinger
- @prosystrangers
- Pigmy Wurm
- John Harman (from Dayton, OH)! - http://www.youtube.com/watch?v=0fKBhvDjuy0#at=29
- @WY_Tang
___________________________________________

MinuteEarth provides an energetic and entertaining view of trends in earth’s environment – in just a few minutes!

Created by Henry Reich

With the MinuteEarth team: Alex Reich, Peter Reich, Emily Elert, Ever Salazar, Kate Yoshida, and Henry Reich. Music by Nathaniel Schroeder: http://www.soundcloud.com/drschroeder
________________________

Please support us on Patreon: https://www.patreon.com/minuteearth

And follow us on Vessel: https://www.vessel.com/shows/6891774506155638

And YouTube: http://www.youtube.com/user/minuteearth?sub_confirmation=1

And ...  iTunes: https://goo.gl/sfwS6n

Facebook: http://facebook.com/minuteearth

Twitter: http://twitter.com/MinuteEarth
________________________

Want to learn more about the topic in this week’s video? Here are some key words/phrases to get your googling started:

- keystone species – a species that plays a crucial role in the functioning of an ecosystem
- flagship species – species used as an icon for an environmental cause
- threatened species - species assessed by the IUCN as critically endangered, endangered, or vulnerable
- triage - assigning degrees of urgency to a large number of patients to determine the order of treatment
________________________

References:

IUCN 2014. The IUCN Red List of Threatened Species. Version 2014.3. http://www.iucnredlist.org/

Joseph, L. N., Maloney R. F., & Possingham, H. P. (2009) Optimal allocation of resources among threatened species: a project prioritization protocol. Conservation Biology 23:328-338. http://www.uq.edu.au/spatialecology/docs/Publications/2009_Joseph_etal_OptimalAllocation.pdf

Small, E. (2011) The new Noah’s Ark: beautiful and useful species only. Part 1. Biodiversity conservation issues and priorities. Biodiversity 12(4): 232 - 247. http://www.tandfonline.com/doi/abs/10.1080/14888386.2011.642663#

Smith, R.J., Verissimo, D.; Isaac, N.J.B., & Jones, K.E. (2012) Identifying Cinderella species: uncovering mammals with conservation flagship appeal. Conservation Letters, 5 (3): 205 - 212. http://onlinelibrary.wiley.com/doi/10.1111/j.1755-263X.2012.00229.x/abstract

Sitas, N., Baillie, J.E.M., and Isaac, N.J.B. (2009) What are we saving? Developing a standardized approach for conservation action. Animal Conservation, 12(3): 231- 237. http://onlinelibrary.wiley.com/doi/10.1111/j.1469-1795.2009.00244.x/full

US Fish and Wildlife Service. (1999) South Florida Multi-Species Recovery Plan. Mangroves: 3-519 - 3-552. http://www.fws.gov/verobeach/msrppdfs/mangroves.pdf

Warren, L. (June 2006) Panda, Inc. National Geographic Magazine. http://ngm.nationalgeographic.com/2006/07/panda/warren-text

World Wildlife Fund. (2014) Annual Report. http://assets.worldwildlife.org/financial_reports/21/reports/original/2014_Annual_Report.pdf?1418325091&_ga=1.146888247.1239564205.1427657892
________________________

Image Credits:

Stinking Cedar (Torreya taxifolia) - Jerry A. Payne - http://bit.ly/1EyduHa

Pygmy hog-sucking Louse (Haematopinus oliveri) - Zoological Survey of India - http://bit.ly/1JdxxvD

Sturgeon - Wikimedia user Cacophony - http://bit.ly/1DOjpFA

Saiga Anthelope - Wikimedia user Seilov - http://bit.ly/1E0O0Pq

Echinocactus grusonii - André Karwath - http://bit.ly/1IucNBw

Cork Oak (Quercus suber) - Wikimedia user Joergsam - http://bit.ly/1ziQOLU

Humphead wrasse (Cheilinus undulatus) - Patryk Krzyzak - http://bit.ly/1GLUf0g

Paddlefish - U.S. Fish and Wildlife Service Headquarters - http://bit.ly/1GLUdFX

Swietenia macrophylla - Flickr User jayeshpatil912 - http://bit.ly/1HWzhuB

Arakan forest turtle - Public Domain - http://bit.ly/1dzlAqh

Purple Frog - Wikimedia User Karthickbala - http://bit.ly/1JF1Hv8

Cute Panda - Wikimedia User Sheilalau (Public Domain) - http://bit.ly/1c0JURt

Frohawk Dodo - Frederick William Frohawk (Public Domain) - http://bit.ly/1bInEer",public,"MinuteEarth,Minute Earth,MinutePhysics,Minute Physics,earth,history,science,environment,environmental science,earth science,conservation,species,triage,policy,biology,endangered species,pandas,extinction,threatened,biodiversity,wildlife,rhinos,otters,mangroves,economics,ecosystems,pygmy hog-sucking louse,stinking cedar,Giant Panda (Animal),World Wide Fund For Nature (Nonprofit Organization)"
https://www.youtube.com/watch?v=nWg3B3LAVI0,nWg3B3LAVI0,Electromagnetism Left or Right Hand Rules for Conductors Physics Lesson,"http://www.physicseh.com/
Free simple easy to follow videos all organized on our website.",public,"left,right,hand,rules,electromagnetism,physics,conductors,help,electricity,lesson,turorial,khan academy"
https://youtu.be/E3p2dcGNpWY,E3p2dcGNpWY,Māori stick and poi,"These are some songs from the DVD ""Heritage of Māori Songs"" 
I saw these and really felt like they need to be promoted. The haka seems to take dominance in pākēha understanding of māori culture and waiāta. I think that the world is more interested in the uniqueness of poi and rākau. 
The first song is Titirorea performed by Ohinemutu Cultural group. 
The second song is Tiramarama by St. Joseph's Māori Girl's College.",public,Assignment
http://www.youtube.com/watch?v=6Yn2U58qxPs,6Yn2U58qxPs,Rock Climbing Basics: Footwork,"Jason Roy from Horseshoe Canyon Ranch shows us some rock climbing basics. In this video he demonstrates some basic rock climbing footwork. 

If you're ever in Arkansas make sure to check out www.horseshoecanyonranch.com great rock climbing!",public,"Art of Manliness,Mens Interest,Mens Style,How To"
http://www.youtube.com/watch?v=9rgdahE5t3o,9rgdahE5t3o,Counting the Cost - Free trade v Protectionism - 24 Jul 09,"The WTO has said that countries are facing challenges in dealing with the financial crisis and has allowed a certain flexibility to nations in protecting their economies.

Samah el-Shahat explains the options between protectionism and free trade, the risks and potential benefits.",public,"free,trade,protectionism,world,organisation,recession,economics,crisis,al,jazeera,counting,the,cost"
https://www.youtube.com/watch?v=AktF-vwTYo8,AktF-vwTYo8,IGCSE Chemistry : Electrolysis,"For a set of notes to go with this video, go to www.scribd.com/ChemistryKlipz

This video covers the vocabulary used in electrolysis, how the process works, and how to work out what the products will be when doing electrolysis of ionic compounds when molten, and when in solution. Half-equations are also covered. Finally we look at the chloralkali industry as a specific example of use of electrolysis in industry.",public,"IGCSE,Chemistry,Edexcel,Electrolysis,half-equations,chloralkali industry"
https://www.youtube.com/watch?v=Zaq5gf67VdU,Zaq5gf67VdU,Full Documentary Films - Engineering an Empire Greece - History Channel Documentaries,"Full Documentary Films - Engineering an Empire Greece - History Channel Documentaries

Engineering an Empire Greece History Video Documentary


Share : http://youtu.be/Zaq5gf67VdU",public,"bbc documentary,history channel documentary,documentaries,how its made,Empire,history documentary,The History Channel,documentary history channel,Documentary (TV Genre),The History Channel (TV Network),Engneering an Empire Greece,Full Documentary,Documentary Films,Full Documentaries,History Channel,History Channel Documentary,History Channel Documentaries,Documentary History Channel,History,History Documentary,History Documentaries"
https://www.youtube.com/watch?v=Xa_PeJMmAok,Xa_PeJMmAok,Amor a primera Mixta, ,public,"Amor,a,primera,Mixta"
https://www.youtube.com/watch?v=hVimVzgtD6w,hVimVzgtD6w,The Best Stats You've Ever Seen | Hans Rosling | TED Talks,"http://www.ted.com  With the drama and urgency of a sportscaster, statistics guru Hans Rosling uses an amazing new presentation tool, Gapminder, to present data that debunks several myths about world development. Rosling is professor of international health at Sweden's Karolinska Institute, and founder of Gapminder, a nonprofit that brings vital global data to life. (Recorded February 2006 in Monterey, CA.)

TEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes. TED stands for Technology, Entertainment, Design, and TEDTalks cover these topics as well as science, business, development and the arts. Closed captions and translated subtitles in a variety of languages are now available on TED.com, at http://www.ted.com/translate.

Follow us on Twitter
http://www.twitter.com/tednews
 
Checkout our Facebook page for TED exclusives
https://www.facebook.com/TED",public,"Hans Rosling,TEDTalks,health,world,billion,population,survival,child,children,people,fertility,fertility rate,third world,statistics,development,developing countries,world development,lifespan,HIV,life expectancy,child mortality,family planning,birth rate,3rd world,data,world health,Western world,Africa,Asia,social,economic,change,social change,wealth,income,distribution of income,rich,poor,class,class system,child health"
https://www.youtube.com/watch?v=67MmNOor8BI,67MmNOor8BI,2.3 Transducers,"screencast explaining the role of Transducers in basic electronic circuits
VCE physics unit 3",public,"unit 3 physics,VCE physics,Year 12 physics,physics,transducers,electronics and photonics,lowdown on physics,electrical circuits,screencast"
